Date,Open,High,Low,Close,Volume,Change
20-Sep-23,"45,947.39","46,035.09","45,808.10","45,889.57","46,255,114",-20.89
19-Sep-23,"45,850.20","46,036.03","45,850.20","45,910.46","57,099,739",107.27
18-Sep-23,"45,824.42","45,907.08","45,662.70","45,803.19","38,482,836",49.68
15-Sep-23,"45,986.58","46,093.01","45,700.65","45,753.51","140,164,860",103.46
14-Sep-23,"45,581.72","45,776.96","45,581.48","45,650.05","61,386,957",59.13
13-Sep-23,"45,507.73","45,732.72","45,500.21","45,590.92","47,422,802",82.53
12-Sep-23,"45,902.72","45,902.72","45,468.27","45,508.39","58,398,860",-357.34
11-Sep-23,"46,071.19","46,174.68","45,678.15","45,865.73","140,183,512",-147.75
08-Sep-23,"45,812.70","46,077.38","45,728.89","46,013.48","67,980,063",256.25
07-Sep-23,"45,854.24","46,035.81","45,703.53","45,757.23","98,984,688",-50.34
06-Sep-23,"45,515.03","45,854.18","45,460.28","45,807.57","74,242,782",316.09
05-Sep-23,"45,825.12","45,950.68","45,416.99","45,491.48","55,028,384",-215.94
04-Sep-23,"45,461.58","45,788.74","45,448.02","45,707.42","55,254,788",394.77
01-Sep-23,"45,005.74","45,358.28","44,795.81","45,312.65","55,690,564",310.24
31-Aug-23,"46,286.73","46,358.01","44,459.62","45,002.41","169,142,258","-1,242.14"
30-Aug-23,"46,771.14","46,857.88","46,101.33","46,244.55","101,472,129",-525.86
29-Aug-23,"47,322.44","47,372.08","46,598.23","46,770.41","111,051,776",-708.2
28-Aug-23,"47,732.79","47,733.50","47,399.27","47,478.61","97,813,577",-192.6
25-Aug-23,"47,818.32","47,853.55","47,570.31","47,671.21","91,943,441",-79.55
24-Aug-23,"47,463.68","47,994.18","47,463.68","47,750.76","168,476,614",332.13
23-Aug-23,"47,503.35","47,588.23","47,007.65","47,418.63","47,419",0.73
22-Aug-23,"47,451.64","47,675.21","47,359.17","47,417.90","73,227,553",-30.05
21-Aug-23,"48,141.31","48,234.25","47,432.71","47,447.95","84,335,337",-770.54
18-Aug-23,"48,406.43","48,615.14","48,196.18","48,218.49","132,257,744",-107.35
17-Aug-23,"47,961.18","48,397.37","47,893.71","48,325.84","101,396,353",179.41
16-Aug-23,"48,575.05","48,614.47","48,108.87","48,146.43","104,981,376",-419.32
15-Aug-23,"48,478.19","48,794.12","48,293.02","48,565.75","123,699,038",141.35
11-Aug-23,"47,968.51","48,898.82","47,968.51","48,424.40","242,051,343",616.06
10-Aug-23,"48,503.90","48,622.90","47,626.74","47,808.34","175,252,024",-419.26
09-Aug-23,"47,322.66","48,334.53","47,262.37","48,227.60","183,275,562",797.78
08-Aug-23,"48,359.55","48,415.46","47,335.32","47,429.82","197,511,127",-956.43
07-Aug-23,"48,716.45","49,034.92","48,276.54","48,386.25","232,034,005",-199.46
04-Aug-23,"48,584.58","48,840.27","48,427.99","48,585.71","210,396,471",-25.47
03-Aug-23,"48,993.00","49,404.50","48,541.34","48,611.18","289,325,455",-153.37
02-Aug-23,"48,277.81","48,852.05","48,178.88","48,764.55","365,630,667",534.05
01-Aug-23,"48,034.59","48,441.84","47,998.26","48,230.50","274,242,037",195.91
31-Jul-23,"47,394.97","48,126.50","47,372.54","48,034.59","315,676,640",957.6
27-Jul-23,"46,780.12","47,393.47","46,779.74","47,076.99","254,214,496",394.47
26-Jul-23,"46,515.88","46,724.57","46,499.36","46,682.52","242,989,152",265.18
25-Jul-23,"46,063.59","46,540.87","46,019.63","46,417.34","142,826,304",362.53
24-Jul-23,"46,087.58","46,195.70","45,872.67","46,054.81","153,912,400",134.08
21-Jul-23,"45,391.55","46,122.16","45,391.55","45,920.73","205,733,616",522.42
20-Jul-23,"45,079.60","45,451.64","45,067.95","45,398.31","157,328,048",303.2
19-Jul-23,"45,121.97","45,227.49","44,928.02","45,095.11","125,855,056",85.78
18-Jul-23,"45,146.10","45,240.21","44,848.39","45,009.33","125,029,536",-33.28
17-Jul-23,"45,114.90","45,283.30","45,013.98","45,042.61","148,606,688",-25.37
14-Jul-23,"45,401.34","45,488.45","45,043.17","45,067.98","112,252,776",-198.98
13-Jul-23,"45,514.95","45,970.99","45,255.58","45,266.96","225,216,885",-247.99
12-Jul-23,"45,236.61","45,582.30","45,200.35","45,514.95","205,445,504",359.16
11-Jul-23,"44,645.89","45,250.48","44,691.46","45,155.79","248,032,416",570.67
10-Jul-23,"44,246.00","44,601.78","44,260.10","44,585.12","182,855,392",377.81
07-Jul-23,"44,157.95","44,293.51","44,086.74","44,207.31","115,715,056",28.46
06-Jul-23,"43,615.88","44,212.77","43,550.14","44,178.85","166,154,400",626.02
05-Jul-23,"43,557.01","44,041.26","43,464.06","43,552.83","181,144,512",-4.18
04-Jul-23,"43,899.00","44,511.52","43,488.37","43,557.01","245,371,488",-341.99
03-Jul-23,"43,545.93","43,933.94","43,404.69","43,899.00","169,579,712","2,446.32"
27-Jun-23,"41,420.06","41,606.25","41,208.19","41,452.68","137,934,880",15.58
26-Jun-23,"40,345.34","41,491.87","40,334.05","41,437.10","122,174,096","1,371.78"
23-Jun-23,"40,175.94","40,235.57","39,894.42","40,065.32","58,539,504",-86.73
22-Jun-23,"40,231.15","40,378.59","40,091.38","40,152.05","65,589,344",-68.74
21-Jun-23,"40,695.50","40,804.87","40,191.24","40,220.79","47,430,440",-432.24
20-Jun-23,"40,635.29","40,739.97","40,507.18","40,653.03","73,146,312",31.82
19-Jun-23,"41,372.22","41,484.32","40,610.27","40,621.21","92,612,480",-680.08
16-Jun-23,"41,467.91","41,612.67","41,280.16","41,301.29","59,980,496",-67.87
15-Jun-23,"41,633.80","41,633.80","41,269.12","41,369.16","44,840,904",-145.28
14-Jun-23,"41,596.53","41,744.43","41,448.61","41,514.44","40,517,860",-24.28
13-Jun-23,"41,889.56","42,025.53","41,522.63","41,538.72","61,589,860",-244.2
12-Jun-23,"41,915.65","42,029.14","41,715.31","41,782.92","83,229,696",-121.28
09-Jun-23,"41,728.41","41,931.82","41,677.14","41,904.20","78,778,528",217.74
08-Jun-23,"42,223.74","42,307.11","41,648.83","41,686.46","100,881,072",-456.25
07-Jun-23,"41,975.36","42,231.63","41,924.48","42,142.71","117,404,928",219.25
06-Jun-23,"41,771.03","42,026.94","41,751.20","41,923.46","122,360,032",255.52
05-Jun-23,"41,390.47","41,681.68","41,375.57","41,667.94","81,400,128",314.96
02-Jun-23,"41,264.42","41,403.43","41,237.41","41,352.98","67,578,672",86.21
01-Jun-23,"41,387.24","41,481.53","41,226.94","41,266.77","49,182,896",-63.79
31-May-23,"41,724.85","41,852.23","41,265.03","41,330.56","90,799,056",-341.09
30-May-23,"41,362.10","41,693.46","41,362.06","41,671.65","104,070,256",331.59
29-May-23,"41,016.32","41,649.13","41,005.15","41,340.06","95,243,584",375.52
26-May-23,"41,062.18","41,148.56","40,783.80","40,964.54","107,230,176",-65.13
25-May-23,"41,165.06","41,219.03","40,956.88","41,029.67","66,537,940",-87.65
24-May-23,"41,128.92","41,342.23","41,064.40","41,117.32","40,260,800",18.02
23-May-23,"41,224.39","41,295.65","41,098.70","41,099.30","43,773,936",-95.76
22-May-23,"41,636.88","41,690.28","41,155.48","41,195.06","47,139,572",-404.12
19-May-23,"41,462.64","41,628.79","41,354.33","41,599.18","54,441,224",126.99
18-May-23,"41,859.33","41,964.27","41,411.64","41,472.19","49,034,616",-361.47
17-May-23,"42,050.47","42,110.03","41,818.34","41,833.66","55,085,168",-172.58
16-May-23,"41,827.94","42,081.58","41,817.01","42,006.24","101,393,472",287.81
15-May-23,"41,498.01","41,718.43","41,310.19","41,718.43","49,988,472",230.85
12-May-23,"41,378.51","41,649.15","41,299.39","41,487.58","50,155,592",161.95
11-May-23,"41,175.26","41,498.77","41,074.95","41,325.63","38,582,200",250.68
